"date,""lead_name"",""business"",""area"",""phone_or_link"",""channel"",""status"",""next_action"",""next_date"",""notes"",""lead_id"""
"2026-03-05,""360 Facilities Management and Interiors"",""360 Facilities Management and Interiors"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/360-facilities-management-and-interiors-193562"",""UAE0011"""
"2026-03-05,""360Passenger"",""360Passenger"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/360passenger-188602"",""UAE0012"""
"2026-03-05,""360Passenger"",""360Passenger"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/360passenger-188602"",""UAE0013"""
"2026-03-05,""3D Arch"",""3D Arch"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3d-arch-181669"",""UAE0014"""
"2026-03-05,""3D Arch"",""3D Arch"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/3d-arch-181669"",""UAE0015"""
"2026-03-05,""3M Gulf Limited"",""3M Gulf Limited"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/3m-gulf-limited-176048"",""UAE0016"""
"2026-03-05,""4 Style Interiors"",""4 Style Interiors"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4-style-interiors-125548"",""UAE0017"""
"2026-03-05,""49&#x27"
"2026-03-05,""49&#x27"
"2026-03-05,""49&#x27"
"2026-03-05,""4Cs Diamond"",""4Cs Diamond"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4cs-diamond-142598"",""UAE0021"""
"2026-03-05,""4D Valves And Fitting Trading Llc"",""4D Valves And Fitting Trading Llc"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4d-valves-and-fitting-trading-llc-182494"",""UAE0022"""
"2026-03-05,""4D Valves and Fittings trading LLC"",""4D Valves and Fittings trading LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4d-valves-and-fittings-trading-llc-182605"",""UAE0023"""
"2026-03-05,""4D Valves and Fittings trading LLC"",""4D Valves and Fittings trading LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/4d-valves-and-fittings-trading-llc-182605"",""UAE0024"""
"2026-03-05,""4th Dimension Interior Design Company LLC"",""4th Dimension Interior Design Company LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/4th-dimension-interior-design-company-llc-140355"",""UAE0025"""
"2026-03-05,""55 &amp"
"2026-03-05,""55 &amp"
"2026-03-05,""7 Emirates Supermarket"",""7 Emirates Supermarket"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/7-emirates-supermarket-132603"",""UAE0028"""
"2026-03-05,""A &amp"
"2026-03-05,""A A A Silver Eagle International"",""A A A Silver Eagle International"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-a-a-silver-eagle-international-115153"",""UAE0030"""
"2026-03-05,""A A Brothers"",""A A Brothers"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-a-brothers-111467"",""UAE0031"""
"2026-03-05,""A Al Saeedi Blacksmith and Welding Shop"",""A Al Saeedi Blacksmith and Welding Shop"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-al-saeedi-blacksmith-and-welding-shop-126558"",""UAE0032"""
"2026-03-05,""A and M Gulf Star General Maintenance and Contracting Sole Proprietorship LLC"",""A and M Gulf Star General Maintenance and Contracting Sole Proprietorship LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-and-m-gulf-star-general-maintenance-and-contracting-sole-proprietorship-llc-191482"",""UAE0033"""
"2026-03-05,""A and M Gulf Star General Maintenance and Contracting Sole Proprietorship LLC"",""A and M Gulf Star General Maintenance and Contracting Sole Proprietorship LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-and-m-gulf-star-general-maintenance-and-contracting-sole-proprietorship-llc-191482"",""UAE0034"""
"2026-03-05,""A B C Private School LLC"",""A B C Private School LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-b-c-private-school-llc-131871"",""UAE0035"""
"2026-03-05,""A B S Europe"",""A B S Europe"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-b-s-europe-148084"",""UAE0036"""
"2026-03-05,""A B S Group Consulting Inc"",""A B S Group Consulting Inc"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-b-s-group-consulting-inc-108526"",""UAE0037"""
"2026-03-05,""A G S"",""A G S"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-g-s-144767"",""UAE0038"""
"2026-03-05,""A K M Group Of Companies"",""A K M Group Of Companies"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-k-m-group-of-companies-163630"",""UAE0039"""
"2026-03-05,""A K M Music Centre"",""A K M Music Centre"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-k-m-music-centre-111058"",""UAE0040"""
"2026-03-05,""A K Trailer"",""A K Trailer"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-k-trailer-117253"",""UAE0041"""
"2026-03-05,""A L E (Middle East) LLC"",""A L E (Middle East) LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-l-e-middle-east-llc-119354"",""UAE0042"""
"2026-03-05,""A M M Grocery LLC"",""A M M Grocery LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-m-m-grocery-llc-165112"",""UAE0043"""
"2026-03-05,""A M Typing &amp"
"2026-03-05,""A One Technology Fire Safety and Security System LLC"",""A One Technology Fire Safety and Security System LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-one-technology-fire-safety-and-security-system-llc-153677"",""UAE0045"""
"2026-03-05,""A One Technology Fire Safety and Security System LLC"",""A One Technology Fire Safety and Security System LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-one-technology-fire-safety-and-security-system-llc-153677"",""UAE0046"""
"2026-03-05,""A P C C - Al Dafrah Pipeline and Contg Co"",""A P C C - Al Dafrah Pipeline and Contg Co"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-p-c-c-al-dafrah-pipeline-and-contg-co-104962"",""UAE0047"""
"2026-03-05,""A P G Care Group"",""A P G Care Group"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-p-g-care-group-150329"",""UAE0048"""
"2026-03-05,""A Plus Advertising LLC"",""A Plus Advertising LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-plus-advertising-194432"",""UAE0049"""
"2026-03-05,""A Plus Advertising LLC"",""A Plus Advertising LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-plus-advertising-194432"",""UAE0050"""
"2026-03-05,""A R Al Saqqaf Gen Cont Transport"",""A R Al Saqqaf Gen Cont Transport"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-r-al-saqqaf-gen-cont-transport-148542"",""UAE0051"""
"2026-03-05,""A to Z Electronics"",""A to Z Electronics"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-to-z-electronics-149113"",""UAE0052"""
"2026-03-05,""A to Z Electronics"",""A to Z Electronics"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-to-z-electronics-149113"",""UAE0053"""
"2026-03-05,""A to Z Hotel &amp"
"2026-03-05,""A To Z International Accessories"",""A To Z International Accessories"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-to-z-international-accessories-154441"",""UAE0055"""
"2026-03-05,""A To Z International Accessories"",""A To Z International Accessories"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a-to-z-international-accessories-154441"",""UAE0056"""
"2026-03-05,""A Touch of Class Design and Decor"",""A Touch of Class Design and Decor"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-touch-of-class-design-and-decor-123538"",""UAE0057"""
"2026-03-05,""A W Rostamani Lumina LLC"",""A W Rostamani Lumina LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a-w-rostamani-lumina-llc-108522"",""UAE0058"""
"2026-03-05,""A&amp"
"2026-03-05,""A1 Maintenance and Cleaning Services LLC"",""A1 Maintenance and Cleaning Services LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a1-maintenance-and-cleaning-services-llc-187570"",""UAE0060"""
"2026-03-05,""A1 Maintenance and Cleaning Services LLC"",""A1 Maintenance and Cleaning Services LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a1-maintenance-and-cleaning-services-llc-187570"",""UAE0061"""
"2026-03-05,""A2Z Debt Collection"",""A2Z Debt Collection"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/a2z-debt-collection-192705"",""UAE0062"""
"2026-03-05,""A2Z Debt Collection"",""A2Z Debt Collection"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/a2z-debt-collection-192705"",""UAE0063"""
"2026-03-05,""AA Handyman &amp"
"2026-03-05,""AAAI - Al Ain Automatic Irrigation Company LLC"",""AAAI - Al Ain Automatic Irrigation Company LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aaai-al-ain-automatic-irrigation-company-llc-109839"",""UAE0065"""
"2026-03-05,""AAAI - Al Ain Automatic Irrigation Company LLC"",""AAAI - Al Ain Automatic Irrigation Company LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/aaai-al-ain-automatic-irrigation-company-llc-109839"",""UAE0066"""
"2026-03-05,""Aabar Properties LLC"",""Aabar Properties LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aabar-properties-llc-172363"",""UAE0067"""
"2026-03-05,""AAF International Air Filtration Systems LLC"",""AAF International Air Filtration Systems LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aaf-international-air-filtration-systems-llc-169318"",""UAE0068"""
"2026-03-05,""Aalian Supermarket"",""Aalian Supermarket"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aalian-supermarket-128227"",""UAE0069"""
"2026-03-05,""Aaref Grocery"",""Aaref Grocery"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aaref-grocery-169374"",""UAE0070"""
"2026-03-05,""Aariya Health Consultancy LLC"",""Aariya Health Consultancy LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aariya-health-consultancy-llc-176920"",""UAE0071"""
"2026-03-05,""Aarya Properties LLC"",""Aarya Properties LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/aarya-properties-llc-172364"",""UAE0072"""
"2026-03-05,""AB Middle East"",""AB Middle East"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/ab-middle-east-190414"",""UAE0073"""
"2026-03-05,""AB Tanks Contracting"",""AB Tanks Contracting"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/ab-tanks-contracting-181378"",""UAE0074"""
"2026-03-05,""AB Tanks Contracting"",""AB Tanks Contracting"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/ab-tanks-contracting-181378"",""UAE0075"""
"2026-03-05,""Abaad Wood Industries"",""Abaad Wood Industries"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abaad-wood-industries-146448"",""UAE0076"""
"2026-03-05,""Abacus Scaffolding Installation Works"",""Abacus Scaffolding Installation Works"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abacus-scaffolding-installation-works-122646"",""UAE0077"""
"2026-03-05,""Abaya Palace"",""Abaya Palace"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abaya-palace-138193"",""UAE0078"""
"2026-03-05,""ABB Transmission and Distbn Limited"",""ABB Transmission and Distbn Limited"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abb-transmission-and-distbn-limited-127210"",""UAE0079"""
"2026-03-05,""ABB Vetco Gray"",""ABB Vetco Gray"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abb-vetco-gray-128395"",""UAE0080"""
"2026-03-05,""Abba Electronics LLC"",""Abba Electronics LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abba-electronics-llc-110021"",""UAE0081"""
"2026-03-05,""Abba Herbal Preparations"",""Abba Herbal Preparations"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abba-herbal-preparations-116379"",""UAE0082"""
"2026-03-05,""Abbas Hussain Mohd Clinic, Dr"",""Abbas Hussain Mohd Clinic, Dr"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abbas-hussain-mohd-clinic-dr-111542"",""UAE0083"""
"2026-03-05,""Abbas Hussain Mohd Clinic, Dr"",""Abbas Hussain Mohd Clinic, Dr"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abbas-hussain-mohd-clinic-dr-111542"",""UAE0084"""
"2026-03-05,""Abbas Mohammed Hussain Hardware &amp"
"2026-03-05,""Abbas Mohammed Hussain Hardware &amp"
"2026-03-05,""Abc Balloons"",""Abc Balloons"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abc-balloons-182267"",""UAE0087"""
"2026-03-05,""Abc Balloons"",""Abc Balloons"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abc-balloons-182267"",""UAE0088"""
"2026-03-05,""ABC Computer Gallery"",""ABC Computer Gallery"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abc-computer-gallery-153368"",""UAE0089"""
"2026-03-05,""ABC Computer Gallery"",""ABC Computer Gallery"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abc-computer-gallery-153368"",""UAE0090"""
"2026-03-05,""ABC Doors and Shutters LLC"",""ABC Doors and Shutters LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | mobile | https://www.yellowpages-uae.com/abc-doors-and-shutters-llc-190778"",""UAE0091"""
"2026-03-05,""Abdan Grocery"",""Abdan Grocery"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdan-grocery-165113"",""UAE0092"""
"2026-03-05,""Abdu Supermarket LLC"",""Abdu Supermarket LLC"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdu-supermarket-llc-133102"",""UAE0093"""
"2026-03-05,""Abdul Alem Spare Parts"",""Abdul Alem Spare Parts"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-alem-spare-parts-142459"",""UAE0094"""
"2026-03-05,""Abdul Aziz Al Ameri Lawyers and Legal Consultants"",""Abdul Aziz Al Ameri Lawyers and Legal Consultants"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-aziz-al-ameri-lawyers-and-legal-consultants-133458"",""UAE0095"""
"2026-03-05,""Abdul Aziz Bin Rubaya and Son"",""Abdul Aziz Bin Rubaya and Son"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-aziz-bin-rubaya-and-son-120305"",""UAE0096"""
"2026-03-05,""Abdul Gafoor Bava Grocery"",""Abdul Gafoor Bava Grocery"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-gafoor-bava-grocery-165114"",""UAE0097"""
"2026-03-05,""Abdul Hakim Auto Electric"",""Abdul Hakim Auto Electric"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-hakim-auto-electric-118923"",""UAE0098"""
"2026-03-05,""Abdul Haq Mobile Phones"",""Abdul Haq Mobile Phones"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-haq-mobile-phones-126739"",""UAE0099"""
"2026-03-05,""Abdul Haque Turning Workshop"",""Abdul Haque Turning Workshop"",""Abu Dhabi"","" 00"",""WhatsApp"",""NEW"",""Review and send compliant outreach"",""2026-03-05"",""YellowPages UAE profile | landline_or_tollfree | https://www.yellowpages-uae.com/abdul-haque-turning-workshop-141844"",""UAE0100"""
